  ELEMENT  LOCATION    X       Y       Z        SXX            SYY            TXY
  NUMBER   POINT
    1        1              0              0              0       -104.181        1.47403       -3.80276
    1        2       0.499998       0.124997              0       -202.229       -27.9406       -10.0966
    1        3       0.499999       0.343797              0       -78.1822       -23.4547       -70.0754
    1        4              0           0.25              0       -163.994       -49.1983       -75.5838
    2        1       0.499998       0.124997              0       -283.043       -42.5825       -13.8818
    2        2       0.999996       0.249991              0       -161.596       -38.8767       0.107167
    2        3       0.999999       0.437491              0       -38.5951        21.1497       -70.0631
    2        4       0.499999       0.343797              0       -186.004       -23.0729       -136.803
    3        1       0.999996       0.249991              0       -202.803       -48.5677       -3.18772
    3        2            1.5       0.374983              0       -85.6793       -23.0329       -2.29519
    3        3            1.5       0.531283              0       -16.6734        4.60013       -45.3028
    3        4       0.999999       0.437491              0        -92.341        14.6281       -114.533
    4        1            1.5       0.374983              0       -97.5122       -28.0724        -4.9275
    4        2              2       0.499975              0       -22.5868       -8.26571       -2.13208
    4        3              2       0.624975              0        -4.0143        1.46666       -14.9728
    4        4            1.5       0.531283              0       -29.2882        3.48664       -59.8756
    5        1              0           0.25              0       -181.214       -51.3706       -78.1051
    5        2       0.499999       0.343797              0       -299.215       -54.0427         -139.9
    5        3            0.5       0.562497              0        5.79159        1.73748       -69.5718
    5        4              0            0.5              0       -78.1822       -23.4547       -70.0754
    6        1       0.499999       0.343797              0       -305.317       -66.5273       -146.138
    6        2       0.999999       0.437491              0       -178.967       -22.0136       -118.475
    6        3              1       0.624991              0        21.4093        9.41637        -71.328
    6        4            0.5       0.562497              0       -41.8353       -9.55701       -138.931
    7        1       0.999999       0.437491              0       -179.949       -31.4228       -124.612
    7        2            1.5       0.531283              0       -72.2819       -18.5258       -66.2347
    7        3            1.5       0.687483              0        12.5134       -6.89996       -45.2733
    7        4              1       0.624991              0       -1.07522       -7.98299       -116.786
    8        1            1.5       0.531283              0       -72.7698       -26.9502       -70.1204
    8        2              2       0.624975              0       -17.0982       -10.7365        -18.959
    8        3              2       0.749975              0        4.27645       -7.83142       -17.9575
    8        4            1.5       0.687483              0        6.70985       -17.7554       -63.3113
    9        1              0            0.5              0        12.6841       -24.6483       -68.8894
    9        2            0.5       0.562497              0       -72.4049       -47.1814       -131.588
    9        3       0.500002       0.812497              0        113.716        34.1147       -75.0436
    9        4              0         0.7813              0        5.79159        1.73748       -69.5718
   10        1            0.5       0.562497              0        3.14344       -53.1408       -130.034
   10        2              1       0.624991              0       -15.5873       -40.9605         -115.2
   10        3              1       0.843791              0        86.8801       -2.38947       -61.4925
   10        4       0.500002       0.812497              0        121.775        8.07891       -136.507
   11        1              1       0.624991              0        21.5505       -49.1948       -117.963
   11        2            1.5       0.687483              0        1.87157       -38.5825       -67.6312
   11        3            1.5       0.874983              0        40.0745       -16.6015       -36.1146
   11        4              1       0.843791              0        90.9834       -29.7824       -98.9409
   12        1            1.5       0.687483              0        12.9102       -52.8974       -69.5458
   12        2              2       0.749975              0       0.253328       -26.6649       -20.1244
   12        3        2.00001       0.999975              0        20.5032       -13.2246       -15.8041
   12        4            1.5       0.874983              0        40.4954       -35.8509        -52.255
   13        1              0         0.7813              0        207.869        -5.8879       -50.9887
   13        2       0.500002       0.812497              0        194.544       -38.3389       -106.443
   13        3       0.500003       0.999996              0        224.576        67.3729       -84.8871
   13        4              0              1              0        113.716        34.1147       -75.0436
   14        1       0.500002       0.812497              0        315.321       -39.0292       -88.5889
   14        2              1       0.843791              0        161.724       -45.4838        -85.605
   14        3        1.00001       0.999991              0        110.451       -35.1133       -28.8471
   14        4       0.500003       0.999996              0        293.343        19.7545       -117.498
   15        1              1       0.843791              0        221.856       -54.2796       -78.8228
   15        2            1.5       0.874983              0        73.7201       -52.7187        -46.685
   15        3        1.50001       0.999983              0        56.8059       -19.8818       -23.3632
   15        4        1.00001       0.999991              0        145.724       -61.4548       -53.1803
   16        1            1.5       0.874983              0      -nan(ind)      -nan(ind)      -nan(ind)
   16        2        2.00001       0.999975              0      -nan(ind)      -nan(ind)      -nan(ind)
   16        3        2.00001       0.999975              0        13.8282       -22.6868       -6.81039
   16        4        1.50001       0.999983              0        69.0253       -43.0513       -30.2957

