Cables to test STAP90
12		1		1		1
1		1		1		1		0.0		0.0		0.0
2		1		1		1		15.0	0.0		0.0
3		0		0		1		3.0		0.0		0.0
4		0		0		1		6.0		0.0		0.0
5		0		0		1		9.0		0.0		0.0
6		0		0		1		12.0	0.0		0.0
7		0		0		1		0.0		4.0		0.0
8		0		0		1		3.0		4.0		0.0
9		0		0		1		6.0		4.0		0.0
10		0		0		1		9.0		4.0		0.0
11		0		0		1		12.0	4.0		0.0
12		0		0		1		15.0	4.0		0.0
1		1
4		2		-7.0E3
1		22		1
1		1.5E11	1.0E-2  7.85E3
1		1		3		1
2		3		4		1
3		4		5		1
4		5		6		1
5		6		2       1
6		1	   	7       1
7		3	    7       1
8		3		8		1
9		4		8		1
10		4		9		1
11		4		10		1
12		5		9		1
13		5		10		1
14		5		11		1
15		6		11		1
16		6		12		1
17		2		12		1
18		7		8		1
19		8		9		1
20		9		10		1
21		10		11		1
22		11		12		1
